season,daytype,k_count,Municipality,monthly_income,water_access,roof_material,wall_material,cb_size,floor_area,years_electrified,fridge_freezer,geyser,heater,hotplate,iron,kettle,microwave,3_plate,4_plate,tv,washing_machine,fridge_freezer_use,geyser_use,heater_use,hotplate_use,iron_use,kettle_use,microwave_use,3_plate_use,4_plate_use,washing_machine_use,k
summer,Friday,4,Mangaung,0.0,tap inside house,Tiles,Brick,20.0,55.0,1.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,12,Mangaung,0.0,tap inside house,Tiles,Brick,20.0,55.0,1.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Friday,3,Mangaung,0.0,tap inside house,Tiles,Brick,20.0,55.0,1.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,5,Mangaung,0.0,tap inside house,Tiles,Brick,20.0,55.0,1.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Friday,2,Mangaung,34090.90909090909,tap inside house,Tiles,Plaster,20.0,115.0,20.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Saturday,3,Mangaung,34090.90909090909,tap inside house,Tiles,Plaster,20.0,115.0,20.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,4,Mangaung,34090.90909090909,tap inside house,Tiles,Plaster,20.0,115.0,20.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,8,Mangaung,34090.90909090909,tap inside house,Tiles,Plaster,20.0,115.0,20.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,4,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,62.0,20.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Friday,2,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,50.0,19.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Sunday,3,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,50.0,19.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,5,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,50.0,19.0,1,0,1,0,1,1,1,0,1,1,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,6,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,52.0,6.0,1,1,1,0,1,1,1,0,1,0,0,never,daily,daily,never,weekly,daily,daily,never,daily,never,1
winter,Sunday,3,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,52.0,6.0,1,1,1,0,1,1,1,0,1,0,0,never,daily,daily,never,weekly,daily,daily,never,daily,never,1
summer,weekday,2,Mangaung,12500.0,tap inside house,Tiles,Brick,20.0,55.0,13.0,1,1,0,0,1,1,1,0,1,0,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
summer,Friday,2,Mangaung,25000.0,tap inside house,Tiles,Brick,20.0,57.0,20.0,1,1,0,0,1,1,1,0,1,1,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
summer,Saturday,3,Mangaung,25000.0,tap inside house,Tiles,Brick,20.0,57.0,20.0,1,1,0,0,1,1,1,0,1,1,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
summer,Sunday,2,Mangaung,25000.0,tap inside house,Tiles,Brick,20.0,57.0,20.0,1,1,0,0,1,1,1,0,1,1,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
summer,weekday,6,Mangaung,25000.0,tap inside house,Tiles,Brick,20.0,57.0,20.0,1,1,0,0,1,1,1,0,1,1,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
winter,Friday,2,Mangaung,25000.0,tap inside house,Tiles,Brick,20.0,57.0,20.0,1,1,0,0,1,1,1,0,1,1,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
winter,Sunday,2,Mangaung,0.0,tap inside house,Tiles,Brick,20.0,130.0,18.0,1,1,1,0,1,1,1,0,1,1,0,never,daily,daily,never,weekly,daily,daily,never,daily,never,1
summer,weekday,2,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,57.0,5.0,1,0,1,0,1,1,1,0,1,0,0,never,never,daily,never,weekly,daily,daily,never,daily,never,1
winter,Sunday,3,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,57.0,5.0,1,0,1,0,1,1,1,0,1,0,0,never,never,daily,never,weekly,daily,daily,never,daily,never,1
summer,Saturday,3,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,77.0,5.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,4,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,77.0,5.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,2,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,77.0,5.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Saturday,2,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,77.0,5.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Sunday,2,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,77.0,5.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Saturday,2,Mangaung,7954.545454545455,tap inside house,Tiles,Brick,20.0,78.0,19.0,1,1,0,0,1,1,1,0,1,0,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,4,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,81.0,8.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,2,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,81.0,8.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Saturday,3,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,81.0,8.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,2,Mangaung,0.0,tap inside house,Concrete,Brick,20.0,48.0,26.0,1,1,0,0,1,1,1,0,1,1,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
summer,Friday,2,Mangaung,1250.0,tap inside house,Tiles,Brick,20.0,63.0,18.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,3,Mangaung,1250.0,tap inside house,Tiles,Brick,20.0,63.0,18.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,4,Mangaung,1250.0,tap inside house,Tiles,Brick,20.0,63.0,18.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,5,Mangaung,11931.818181818182,tap inside house,Tiles,Brick,20.0,193.0,20.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,3,Mangaung,26534.090909090908,tap inside house,Tiles,Brick,20.0,61.0,14.0,1,0,1,0,1,1,1,0,1,1,1,never,never,weekly,never,weekly,daily,daily,never,daily,weekly,1
winter,Saturday,3,Mangaung,26534.090909090908,tap inside house,Tiles,Brick,20.0,61.0,14.0,1,0,1,0,1,1,1,0,1,1,1,never,never,weekly,never,weekly,daily,daily,never,daily,weekly,1
winter,Sunday,2,Mangaung,26534.090909090908,tap inside house,Tiles,Brick,20.0,61.0,14.0,1,0,1,0,1,1,1,0,1,1,1,never,never,weekly,never,weekly,daily,daily,never,daily,weekly,1
summer,Friday,3,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,53.0,19.0,1,0,1,1,1,1,1,0,0,1,0,never,never,daily,daily,weekly,daily,daily,never,never,never,1
summer,Saturday,2,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,53.0,19.0,1,0,1,1,1,1,1,0,0,1,0,never,never,daily,daily,weekly,daily,daily,never,never,never,1
summer,Sunday,5,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,53.0,19.0,1,0,1,1,1,1,1,0,0,1,0,never,never,daily,daily,weekly,daily,daily,never,never,never,1
summer,weekday,2,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,53.0,19.0,1,0,1,1,1,1,1,0,0,1,0,never,never,daily,daily,weekly,daily,daily,never,never,never,1
winter,weekday,4,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,53.0,19.0,1,0,1,1,1,1,1,0,0,1,0,never,never,daily,daily,weekly,daily,daily,never,never,never,1
summer,weekday,4,Mangaung,7954.545454545455,tap inside house,Tiles,Plaster,20.0,46.0,7.0,1,1,1,0,1,1,1,0,0,0,0,never,daily,daily,never,weekly,daily,daily,never,never,never,1
summer,Sunday,2,Mangaung,8636.363636363636,tap inside house,Tiles,Brick,20.0,104.0,20.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,2,Mangaung,8636.363636363636,tap inside house,Tiles,Brick,20.0,104.0,20.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Saturday,3,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,67.0,17.0,1,1,0,0,1,1,1,0,0,1,0,never,daily,never,never,weekly,daily,daily,never,never,never,1
summer,Sunday,3,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,67.0,17.0,1,1,0,0,1,1,1,0,0,1,0,never,daily,never,never,weekly,daily,daily,never,never,never,1
winter,weekday,3,Mangaung,7954.545454545455,tap inside house,Tiles,Plaster,20.0,74.0,20.0,1,1,0,0,1,1,1,0,1,0,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
summer,Sunday,5,Mangaung,0.0,tap inside house,Tiles,Concrete,20.0,53.0,4.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,2,Mangaung,0.0,tap inside house,Tiles,Concrete,20.0,53.0,4.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,4,Mangaung,0.0,tap inside house,Tiles,Concrete,20.0,53.0,4.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,3,Mangaung,20454.545454545456,tap inside house,Tiles,Brick,20.0,71.0,8.0,1,1,1,0,1,1,1,0,0,0,1,never,daily,daily,never,weekly,daily,daily,never,never,weekly,1
winter,weekday,2,Mangaung,36363.63636363636,tap inside house,Tiles,Brick,20.0,62.0,3.0,1,1,0,1,1,1,1,0,0,1,1,never,daily,never,daily,weekly,daily,daily,never,never,weekly,1
winter,Sunday,2,Mangaung,11136.363636363636,tap inside house,Tiles,Brick,20.0,46.0,20.0,1,0,0,0,1,1,1,0,1,0,0,never,never,never,never,weekly,daily,daily,never,daily,never,1
winter,weekday,3,Mangaung,7954.545454545455,tap inside house,Tiles,Brick,20.0,66.0,20.0,0,0,0,1,1,0,0,0,0,0,0,never,never,never,daily,weekly,never,never,never,never,never,1
summer,Saturday,3,Mangaung,13636.363636363636,tap inside house,Tiles,Brick,20.0,79.0,20.0,1,1,0,0,1,1,1,0,1,1,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
summer,weekday,6,Mangaung,13636.363636363636,tap inside house,Tiles,Brick,20.0,79.0,20.0,1,1,0,0,1,1,1,0,1,1,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
winter,Sunday,2,Mangaung,13636.363636363636,tap inside house,Tiles,Brick,20.0,79.0,20.0,1,1,0,0,1,1,1,0,1,1,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
winter,weekday,4,Mangaung,13636.363636363636,tap inside house,Tiles,Brick,20.0,79.0,20.0,1,1,0,0,1,1,1,0,1,1,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
summer,Saturday,2,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,60.0,10.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,2,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,60.0,10.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,3,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,60.0,10.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Saturday,3,Mangaung,17045.454545454544,tap inside house,Tiles,Brick,20.0,79.0,12.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,5,Mangaung,17045.454545454544,tap inside house,Tiles,Brick,20.0,79.0,12.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
winter,Saturday,4,Mangaung,17045.454545454544,tap inside house,Tiles,Brick,20.0,79.0,12.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,8,Mangaung,6818.181818181818,tap inside house,Tiles,Brick,20.0,111.0,20.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Sunday,2,Mangaung,6818.181818181818,tap inside house,Tiles,Brick,20.0,111.0,20.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Saturday,2,Mangaung,15909.090909090908,tap inside house,Tiles,Brick,20.0,152.0,10.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,monthly,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,2,Mangaung,15909.090909090908,tap inside house,Tiles,Brick,20.0,152.0,10.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,monthly,never,weekly,daily,daily,never,daily,weekly,1
winter,Saturday,2,Mangaung,15909.090909090908,tap inside house,Tiles,Brick,20.0,152.0,10.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,monthly,never,weekly,daily,daily,never,daily,weekly,1
summer,Friday,2,Mangaung,13636.363636363636,tap inside house,Tiles,Brick,20.0,63.0,14.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
summer,Saturday,3,Mangaung,13636.363636363636,tap inside house,Tiles,Brick,20.0,63.0,14.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,5,Mangaung,13636.363636363636,tap inside house,Tiles,Brick,20.0,63.0,14.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
winter,Saturday,2,Mangaung,13636.363636363636,tap inside house,Tiles,Brick,20.0,63.0,14.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
winter,Sunday,3,Mangaung,13636.363636363636,tap inside house,Tiles,Brick,20.0,63.0,14.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,2,Mangaung,13636.363636363636,tap inside house,Tiles,Brick,20.0,63.0,14.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,2,Mangaung,13409.090909090908,tap inside house,Tiles,Plaster,20.0,54.0,19.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
winter,Sunday,3,Mangaung,13409.090909090908,tap inside house,Tiles,Plaster,20.0,54.0,19.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,4,Mangaung,11363.636363636364,tap inside house,Tiles,Brick,20.0,84.0,18.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Saturday,2,Mangaung,28409.090909090908,tap inside house,Tiles,Brick,20.0,61.0,19.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,2,Mangaung,28409.090909090908,tap inside house,Tiles,Brick,20.0,61.0,19.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
summer,Friday,2,Mangaung,27272.727272727272,tap inside house,Tiles,Brick,20.0,78.0,19.0,1,0,1,0,1,1,1,0,1,0,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Saturday,2,Mangaung,27272.727272727272,tap inside house,Tiles,Brick,20.0,78.0,19.0,1,0,1,0,1,1,1,0,1,0,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,5,Mangaung,27272.727272727272,tap inside house,Tiles,Brick,20.0,78.0,19.0,1,0,1,0,1,1,1,0,1,0,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Saturday,3,Mangaung,27272.727272727272,tap inside house,Tiles,Brick,20.0,78.0,19.0,1,0,1,0,1,1,1,0,1,0,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Sunday,2,Mangaung,27272.727272727272,tap inside house,Tiles,Brick,20.0,78.0,19.0,1,0,1,0,1,1,1,0,1,0,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,8,Mangaung,27272.727272727272,tap inside house,Tiles,Brick,20.0,78.0,19.0,1,0,1,0,1,1,1,0,1,0,1,never,never,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,2,Mangaung,12500.0,tap inside house,Tiles,Brick,20.0,71.0,10.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
winter,Sunday,3,Mangaung,12500.0,tap inside house,Tiles,Brick,20.0,71.0,10.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,2,Mangaung,12500.0,tap inside house,Tiles,Brick,20.0,71.0,10.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
winter,Saturday,2,Mangaung,25000.0,tap inside house,Tiles,Brick,20.0,49.0,5.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
summer,Saturday,3,Mangaung,5454.545454545455,tap inside house,Tiles,Brick,20.0,173.0,11.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
winter,Saturday,4,Mangaung,5454.545454545455,tap inside house,Tiles,Brick,20.0,173.0,11.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
winter,Sunday,3,Mangaung,5454.545454545455,tap inside house,Tiles,Brick,20.0,173.0,11.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,2,Mangaung,4545.454545454545,tap inside house,Tiles,Brick,20.0,54.0,19.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,weekly,never,weekly,daily,daily,never,daily,weekly,1
winter,Sunday,3,Mangaung,4545.454545454545,tap inside house,Tiles,Brick,20.0,54.0,19.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,weekly,never,weekly,daily,daily,never,daily,weekly,1
